# Intensity	Volts (mv)	V err (mv)	current (A)	Temperature (K)	1/T (1/K)	log Vout	err %
30.0000000	0.0596000	0.0005000	0.8600000	1869.7772465	0.0005348	-2.8200997	0.0083893
35.0000000	0.0985000	0.0005000	0.9300000	1991.5441896	0.0005021	-2.3176987	0.0050761
40.0000000	0.1491000	0.0005000	1.0000000	2095.0642286	0.0004773	-1.9031381	0.0033535
45.0000000	0.2209000	0.0005000	1.0600000	2201.3166060	0.0004543	-1.5100452	0.0022635
50.0000000	0.3001000	0.0005000	1.1400000	2261.7877116	0.0004421	-1.2036395	0.0016661
55.0000000	0.3829000	0.0005000	1.1800000	2379.0846016	0.0004203	-0.9599814	0.0013058
60.0000000	0.5030000	0.0010000	1.2400000	2454.2390077	0.0004075	-0.6871651	0.0019881
65.0000000	0.6160000	0.0010000	1.2900000	2538.2946000	0.0003940	-0.4845083	0.0016234
70.0000000	0.7560000	0.0010000	1.3400000	2615.5766904	0.0003823	-0.2797139	0.0013228
75.0000000	0.9010000	0.0010000	1.4000000	2670.9230656	0.0003744	-0.1042500	0.0011099
80.0000000	1.0670000	0.0010000	1.4500000	2737.1090420	0.0003653	0.0648510	0.0009372
85.0000000	1.2320000	0.0010000	1.5000000	2798.5906750	0.0003573	0.2086389	0.0008117
90.0000000	1.4290000	0.0010000	1.5400000	2871.2652587	0.0003483	0.3569749	0.0006998
95.0000000	1.6190000	0.0010000	1.5900000	2924.5379856	0.0003419	0.4818087	0.0006177
100.0000000	1.8440000	0.0010000	1.6400000	2974.3835906	0.0003362	0.6119371	0.0005423
