position	counts
1	40
1.05	39
1.1	30
1.15	33
1.2	48
1.25	46
1.3	39
1.35	51
1.4	47
1.45	40
1.5	35
1.55	28
1.6	34
1.65	46
1.7	58
1.75	57
1.8	77
1.85	89
1.9	86
1.95	86
2	90
2.05	85
2.1	74
2.15	89
2.2	101
2.25	127
2.3	112
2.35	120
2.4	136
2.45	121
2.5	114
2.55	143
2.6	149
2.65	211
2.7	218
2.75	301
2.8	348
2.85	355
2.9	376
2.95	319
3	276
3.05	214
3.1	181
3.15	153
3.2	174
3.25	208
3.3	338
3.35	418
3.4	526
3.45	698
3.5	815
3.55	799
3.6	769
3.65	646
3.7	522
3.75	343
3.8	220
3.85	130
3.9	168
3.95	278
4	473
4.05	724
4.1	1040
4.15	1188
4.2	1249
4.25	1213
4.3	1094
4.35	814
4.4	532
4.45	294
4.5	173
4.55	108
4.6	158
4.65	360
4.7	632
4.75	975
4.8	1203
4.85	1280
4.9	1374
4.95	1307
5	1108
5.05	854
5.1	506
5.15	275
5.2	121
5.25	99
5.3	222
5.35	433
5.4	618
5.45	878
5.5	1102
5.55	1184
5.6	1142
5.65	1048
5.7	795
5.75	632
5.8	382
5.85	183
5.9	92
5.95	106
6	174
6.05	351
6.1	551
6.15	674
6.2	748
6.25	817
6.3	712
6.35	625
6.4	468
6.45	349
6.5	215
6.55	125
6.6	94
6.65	112
6.7	159
6.75	217
6.8	320
6.85	334
6.9	344
6.95	315
7	289
7.05	226
7.1	187
7.15	138
7.2	96
7.25	91
7.3	85
7.35	88
7.4	84
7.45	80
7.5	87
7.55	90
7.6	89
7.65	72
7.7	64
7.75	68
7.8	56
7.85	61
7.9	63
7.95	69
8	62
8.05	45
8.1	48
8.15	43
8.2	35
8.25	29
8.3	30
8.35	34
8.4	47
8.45	32
8.5	51
