Position (mm)	Voltage  (mV)
1	15
1.05	17
1.15	19
1.2	23
1.25	26
1.3	27
1.35	27
1.4	27
1.45	27
1.5	27
1.55	29
1.6	31
1.65	34
1.7	38
1.75	43
1.8	42
1.85	41
1.9	41
2	41
2.05	44
2.1	59
2.15	73
2.2	96
2.25	132
2.3	155
2.35	181
2.4	198
2.45	205
2.5	198
2.55	179
2.6	148
2.65	104
2.7	80
2.75	51
2.8	45
2.85	57
2.9	90
2.95	146
3	201
3.05	327
3.1	385
3.15	458
3.2	503
3.25	519
3.3	492
3.35	440
3.4	376
3.45	262
3.5	175
3.55	96
3.6	58
3.65	44
3.7	78
3.75	182
3.8	297
3.85	428
3.9	575
3.95	615
4	803
4.05	849
4.1	840
4.15	760
4.2	621
4.25	470
4.3	301
4.35	183
4.4	87
4.45	38
4.5	54
4.55	140
4.6	280
4.65	444
4.7	631
4.75	790
4.8	912
4.85	979
4.9	977
4.95	912
5	785
5.05	624
5.1	440
5.15	250
5.2	124
5.25	53
5.3	37
5.35	89
5.4	196
5.45	329
5.5	490
5.55	657
5.6	755
5.65	829
5.7	839
5.75	792
5.8	694
5.85	558
5.9	405
5.95	288
6	160
6.05	80
6.1	45
6.15	58
6.2	109
6.25	196
6.3	288
6.35	384
6.4	452
6.45	500
6.5	516
6.55	496
6.6	452
6.65	383
6.7	305
6.75	212
6.8	140
6.85	87
6.9	59
6.95	53
7	67
7.05	98
7.1	131
7.15	163
7.2	193
7.25	211
7.3	213
7.35	201
7.4	181
7.45	156
7.5	124
7.55	93
7.6	74
7.65	56
7.7	46
7.75	43
7.8	44
7.85	46
7.9	50
7.95	51
8	51
8.05	48
8.1	43
8.15	37
8.2	29
8.25	22
8.3	17
8.35	12
8.4	10
8.45	9
8.5	9
8.55	9
