Position (mm)	Voltage (mV)
2	10
2.05	10
2.1	10
2.15	11
2.2	13
2.25	14
2.3	16
2.35	19
2.4	20
2.45	22
2.5	25
2.55	28
2.6	31
2.65	34
2.7	37
2.75	40
2.8	43
2.85	47
2.9	52
2.95	55
3	59
3.05	64
3.1	68
3.15	73
3.2	78
3.25	84
3.3	88
3.35	94
3.4	100
3.45	106
3.5	110
3.55	117
3.6	122
3.65	127
3.7	133
3.75	139
3.8	146
3.85	151
3.9	158
3.95	164
4	170
4.05	176
4.1	181
4.15	186
4.2	191
4.25	197
4.3	202
4.35	206
4.4	210
4.45	216
4.5	221
4.55	226
4.6	230
4.65	234
4.7	239
4.75	243
4.8	247
4.85	251
4.9	255
4.95	258
5	261
5.05	263
5.1	266
5.15	268
5.2	269
5.25	270
5.3	270
5.35	271
5.4	271
5.45	271
5.5	270
5.55	269
5.6	268
5.65	266
5.7	264
5.75	262
5.8	260
5.85	258
5.9	256
5.95	252
6	249
6.05	246
6.1	242
6.15	237
6.2	233
6.25	228
6.3	223
6.35	218
6.4	212
6.45	208
6.5	202
6.55	199
6.6	196
6.65	192
6.7	187
6.75	180
6.8	175
6.85	169
6.9	162
6.95	155
7	150
7.05	144
7.1	138
7.15	132
7.2	125
7.25	118
7.3	112
7.35	107
7.4	101
7.45	95
7.5	89
7.55	83
7.6	78
7.65	73
7.7	68
7.75	63
7.8	58
7.85	54
7.9	49
7.95	45
8	41
8.05	37
8.1	33
8.15	29
8.2	24
8.25	19
8.3	15
8.35	11
8.4	10
8.45	9
8.5	9
