#Voltage	VoltageErr	Current	CurrentErr	Diameter	DiameterErr	sqrtV/I	thatErr
1.98e+02 5.00e-01 1.08e+00 5.00e-01 1.12e+01 4.00e-01 1.30e+01 6.02e+00
1.98e+02 5.00e-01 1.30e+00 5.00e-01 9.50e+00 4.00e-01 1.08e+01 4.16e+00
1.98e+02 5.00e-01 1.68e+00 5.00e-01 7.40e+00 4.00e-01 8.37e+00 2.49e+00
1.98e+02 5.00e-01 2.02e+00 5.00e-01 6.30e+00 4.00e-01 6.96e+00 1.72e+00
1.98e+02 5.00e-01 2.31e+00 5.00e-01 5.50e+00 4.00e-01 6.08e+00 1.32e+00
1.98e+02 5.00e-01 2.59e+00 5.00e-01 4.80e+00 4.00e-01 5.43e+00 1.05e+00
1.98e+02 5.00e-01 3.01e+00 5.00e-01 4.00e+00 4.00e-01 4.67e+00 7.76e-01
2.57e+02 5.00e-01 1.20e+00 5.00e-01 1.17e+01 4.00e-01 1.34e+01 5.57e+00
2.57e+02 5.00e-01 1.60e+00 5.00e-01 8.70e+00 4.00e-01 1.00e+01 3.13e+00
2.57e+02 5.00e-01 1.90e+00 5.00e-01 7.40e+00 4.00e-01 8.44e+00 2.22e+00
2.57e+02 5.00e-01 2.31e+00 5.00e-01 6.00e+00 4.00e-01 6.94e+00 1.50e+00
2.57e+02 5.00e-01 2.60e+00 5.00e-01 5.40e+00 4.00e-01 6.16e+00 1.19e+00
2.57e+02 5.00e-01 3.01e+00 5.00e-01 4.60e+00 4.00e-01 5.32e+00 8.85e-01
3.00e+02 5.00e-01 1.30e+00 5.00e-01 1.15e+01 4.00e-01 1.33e+01 5.12e+00
3.00e+02 5.00e-01 1.63e+00 5.00e-01 9.40e+00 4.00e-01 1.06e+01 3.26e+00
3.00e+02 5.00e-01 1.99e+00 5.00e-01 7.50e+00 4.00e-01 8.70e+00 2.19e+00
3.00e+02 5.00e-01 2.31e+00 5.00e-01 6.30e+00 4.00e-01 7.50e+00 1.62e+00
3.00e+02 5.00e-01 2.60e+00 5.00e-01 5.20e+00 4.00e-01 6.66e+00 1.28e+00
3.00e+02 5.00e-01 3.01e+00 5.00e-01 4.70e+00 4.00e-01 5.75e+00 9.56e-01
3.45e+02 5.00e+00 1.50e+00 5.00e-01 1.11e+01 4.00e-01 1.24e+01 4.13e+00
3.45e+02 5.00e+00 2.00e+00 5.00e-01 8.30e+00 4.00e-01 9.29e+00 2.32e+00
3.45e+02 5.00e+00 2.50e+00 5.00e-01 6.60e+00 4.00e-01 7.43e+00 1.49e+00
3.45e+02 5.00e+00 2.99e+00 5.00e-01 5.50e+00 4.00e-01 6.21e+00 1.04e+00
