frequence (kHz)		Channel 1 (RMSV)	Channel 2 (RMSV)	channel 1 err	channel 2 err
.100	1.76	.0179	.002	.0002
.500	1.76	.433	.002	.002
.600 	1.76	.604	.002	.002
.700 	1.76	.783	.002 	.002
.800	1.76	.962	.002	.002
.850	1.76	1.04	.002	.02
.900 	1.76	1.12	.002	.02
.950	1.76	1.19	.002	.02
.975 	1.76	1.23	.002	.02
.980	1.76	1.24	.002	.02
.990 	1.76	1.25	.002	.02
1.00 	1.76	1.26	.002	.02
1.25	1.76	1.49	.002	.02
1.50	1.76	1.61	.002	.02
2.00 	1.76	1.71	.002	.02
3.00	1.76	1.75	.002	.02
5.00 	1.76	1.71	.002	.02
7.00 	1.76	1.59	.002	.02
8.00 	1.76	1.49	.002	.02
8.50 	1.76	1.45	.002	.02
9.00 	1.76	1.39	.002	.02
9.50 	1.76	1.33	.002	.02
9.75	1.76	1.30	.002	.02
9.90 	1.76	1.28	.002	.02
10.0 	1.76	1.27	.002	.02
10.25	1.76	1.24 	.002	.02
10.50 	1.76	1.21 	.002	.02
11.0 	1.76	1.15 	.002	.02
12.0 	1.76	1.03 	.002	.02
15.0 	1.76	.731 	.002	.002
20		1.75 	.439 	.002	.002
30		1.74	.197 	.002	.002
40		1.73 	.111 	.002	.002
60 		1.72	.050 	.002	.005
80 		1.72	.0285	.002	.0005
100		1.72	.0185	.002	.0005
