frequence (kHz)		Channel 1 (RMSV)	Channel 2 (RMSV)	channel 1 err	channel 2 err
0.1 	1.76 	1.75 	0.01 	0.01
5 		1.76 	1.71	0.01 	.01
8 		1.76 	1.49	0.01 	.01
9 		1.76 	1.38	0.01 	.01
9.5 	1.76 	1.32	0.01 	.01
9.8 	1.76 	1.29	0.01 	.01
9.9 	1.76 	1.27	0.01 	.01
9.95 	1.76 	1.27	0.01 	.01
10 		1.76 	1.26	0.01 	.01
10.1 	1.76 	1.25	0.01 	.01
10.2 	1.76 	1.24	0.01 	.01
11 		1.76 	1.14	0.01 	.01
15 		1.76 	0.728 	0.01 	0.005
20 		1.76 	0.430 	0.01 	0.005
40 		1.74 	0.112 	0.01 	0.001
50 		1.72 	0.0333 	0.01 	0.0005
100 	1.71 	0.0249 	0.01 	0.0002
