f1 (Hz)	f2 (KHz)	effective bandwidth	Signal with 10 Kohm (mv)	signal with 10Kohm err mv	Gaun used with 10KOhm	signal with 1 Ohm	signal with 1 Ohm err	gain used with 1 Oh
30	0.33	333	67	1	5000	92	4	10000
100	0.33	258	222	4	10000	66	1	10000
300	0.33	105	90	2	10000	25	2	10000
100	1	1100	300	2	6000	233	2	10000
300	1	784	235	4	6000	180	4	10000
30	3.3	3632	480	3	4000	843	4	10000
1000	3.3	2576	339	2	4000	672	4	10000
3000	3.3	1051	140	1	4000	237	4	10000
30	10	11074	811	2	3000	872	7	6000
1000	10	9997	731	3	3000	787	5	6000
3000	10	7839	577	2	3000	612	3	6000
30	33	36620	191	1	800	724	4	3000
3000	33	33324	622	1	1500	662	4	3000
30	100	111039	332	1	600	243	2	1000
3000	100	107740	325	1	600	238	2	1000
